Tasks: 885 total,   7 running, 878 sleeping,   0 stopped,   0 zombie
  Mem:  3754184K total,  3669424K used,    84760K free,     1752K buffers
 Swap:  8388604K total,  1717148K used,  6671456K free,   657376K cached
800%cpu 181%user   3%nice 200%sys 384%idle   3%iow  25%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 1230 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq2_done_kt]
 1228 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq1_done_kt]
 1226 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [dpmaif_txq0_done_kt]
 1224 root         20   0    0    0    0 S  0.0   0.0   0:00.23 [skb_alloc_thread]
 1223 root         20   0    0    0    0 S  0.0   0.0   0:00.28 [bat_alloc_thread]
 1222 root         20   0    0    0    0 S  0.0   0.0   0:02.08 [dpmaif_rxq0_push]
 1221 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx15_worker]
 1220 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx14_worker]
 1219 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx13_worker]
 1218 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx12_worker]
 1217 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx11_worker]
 1216 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx10_worker]
 1215 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx9_worker]
 1214 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx8_worker]
 1211 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx7_worker]
 1210 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx6_worker]
 1209 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx5_worker]
 1208 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx4_worker]
 1206 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx3_worker]
 1205 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx2_worker]
 1204 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx1_worker]
 1203 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-rx0_worker]
 1202 vendor_dsms  20   0 2.1G 3.1M 3.1M S  0.0   0.0   0:00.63 dsms
 1174 system        0 -20 2.2G 3.3M 3.2M S  0.0   0.0   0:07.57 ccci_mdinit 0
 1171 radio        20   0 2.1G 3.4M 3.4M S  0.0   0.0   0:01.40 ccci_rpcd 0
 1162 audioserver  20   0 2.2G 3.4M 3.3M S  0.0   0.0   0:00.06 android.hardware.audio.parameter_parser.service
 1158 system       20   0 2.3G 2.9M 2.9M S  0.0   0.0   0:10.35 perfmond
 1152 system_kumiho_dec 20 0 3.1G 4.8M 4.8M S 0.0 0.1   0:00.46 kumiho.decoder ihodecoder
 1151 system       20   0 2.1G 2.7M 2.7M S  0.0   0.0   0:00.93 heatmap
 1150 gpu_service  20   0 2.3G 3.4M 3.4M S  0.0   0.0   0:00.69 gpuservice
 1146 credstore    20   0 2.1G 3.9M 3.7M S  0.0   0.1   0:00.01 credstore /data/misc/credstore
 1139 media        20   0 2.2G 3.8M 3.8M S  0.0   0.1   0:00.20 android.hardware.drm-service.widevine
 1138 wifi         20   0 2.1G 3.8M 3.8M S  0.0   0.1   0:00.05 vendor.samsung.hardware.wifi-service
 1137 system       20   0 2.1G 3.4M 3.4M S  0.0   0.0   0:00.25 vendor.samsung.hardware.vibrator-service
 1136 system       20   0 2.1G 4.1M 3.8M S  0.0   0.1   0:20.67 vendor.samsung.hardware.thermal-service
 1135 system       12  -8 2.2G 3.1M 3.1M S  0.0   0.0   0:02.97 vendor.samsung.hardware.sysinput-service
 1134 system       20   0 2.2G 3.6M 3.6M S  0.0   0.0   0:00.19 vendor.samsung.hardware.security.drk@2.0-service
 1133 system       20   0 2.0G 3.6M 3.4M S  0.0   0.0   1:00.39 vendor.samsung.hardware.health-service
 1131 cameraserver 20   0 4.0G 4.9M 4.8M S  0.0   0.1   0:06.63 vendor.samsung.hardware.camera.provider-service_64
 1130 root         20   0 2.1G 3.7M 3.7M S  0.0   0.1   0:00.04 vendor.mediatek.hardware.nvram-service
 1129 root         20   0 2.2G 5.3M 3.8M S  0.0   0.1   0:05.51 vendor.mediatek.hardware.mtkpower-service.mediatek
 1126 audioserver  20   0 2.1G 3.9M 3.9M S  0.0   0.1   0:00.02 secaudiohalaidl
 1125 mediacodec   20   0 3.1G 4.4M 4.4M S  0.0   0.1   0:00.47 samsung.software.media.c2@1.0-service
 1124 system       20   0 2.2G 3.5M 3.5M S  0.0   0.0   0:00.43 vendor.mediatek.hardware.mtkpower_applist-service.mediatek
 1121 system       20   0 2.0G 3.4M 3.4M S  0.0   0.0   0:06.40 android.hardware.memtrack-service.mediatek
 1115 system       20   0 2.1G 3.6M 3.6M S  0.0   0.1   0:01.37 vendor.samsung.hardware.light-service
 1113 system       20   0 2.3G 4.0M 3.6M S  0.0   0.1   0:11.66 vendor.samsung.hardware.hyper-service
 1112 system       20   0 2.1G 4.0M 3.8M S  0.0   0.1   0:01.25 hermesd /data/vendor/gatekeeper
 1111 system       20   0 2.3G 3.9M 3.8M S  0.0   0.1   0:00.06 vendor.samsung.hardware.biometrics.face-service
 1110 system       20   0 2.1G 4.0M 3.7M S  0.0   0.1   0:38.25 android.hardware.usb-aidl-service.mediatek
 1107 system       20   0 2.2G 3.8M 3.5M S  0.0   0.1   1:17.66 android.hardware.sensors-service.multihal
 1103 mediacodec   20   0 3.1G 4.7M 4.7M S  0.0   0.1   0:01.33 android.hardware.media.c2-mediatek-64b
 1101 system       20   0 2.1G 3.8M 3.7M S  0.0   0.1   0:03.23 android.hardware.graphics.allocator-V2-service-mediatek
 1100 system       20   0 2.1G 2.4M 2.4M S  0.0   0.0   0:00.09 android.hardware.gatekeeper@1.0-service
 1099 media        20   0 2.1G 3.5M 3.4M S  0.0   0.0   0:00.03 android.hardware.drm-service.clearkey
 1096 system       20   0 2.0G 2.9M 2.9M S  0.0   0.0   0:00.02 android.hidl.allocator@1.0-service
 1091 root         20   0 2.0G 2.8M 2.3M S  0.0   0.0   0:07.30 iptables-restore --noflush -w -v
 1086 root         20   0 1.7G 8.8M 8.8M S  0.0   0.2   0:02.74 zygote
 1085 root         20   0 6.5G  42M  33M S  0.0   1.1   0:22.96 zygote64
 1084 statsd       20   0 2.4G 8.3M 3.9M S  0.0   0.2   2:28.38 statsd
 1083 root         20   0 2.4G 5.7M 4.6M S  0.0   0.1   2:07.83 netd
 1075 system       20   0 2.1G 3.7M 3.7M S  0.0   0.1   0:00.05 rttsservice
 1072 system       20   0 2.2G 4.1M 3.5M S  0.0   0.1   0:01.11 emservice
 1071 system       20   0 2.3G 3.7M 3.7M S  0.0   0.1   0:01.24 cass
 1006 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
 1005 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
 1004 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
 1003 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
 1002 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
 1001 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
 1000 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  999 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  995 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  994 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  993 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  992 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  988 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  987 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  986 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  985 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  984 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  980 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  979 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  978 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  977 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  976 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  975 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  974 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  972 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  970 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  969 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  968 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  967 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  966 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  965 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  963 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  962 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  961 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  960 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  959 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  958 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  957 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  955 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  954 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  952 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  951 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  950 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  948 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  947 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  945 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  944 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  943 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  942 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  941 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  940 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  939 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  938 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  937 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  936 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  935 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  932 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  931 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  930 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  929 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  928 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  927 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  926 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  925 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  924 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  922 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  921 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  920 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  919 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  918 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  917 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kverityd]
  916 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ext4-rsv-conversion]
  845 tombstoned   20   0 2.0G 2.5M 2.5M S  0.0   0.0   0:00.55 tombstoned
  832 root         20   0    0    0    0 S  0.0   0.0   0:00.04 [mtk_wmtd_worker]
  831 root         20   0    0    0    0 S  0.0   0.0   0:06.29 [mtk_wmtd]
  830 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [mtk_stp_btm]
  829 root         20   0    0    0    0 S  0.0   0.0   0:02.17 [mtk_stp_psm]
  822 system       20   0 2.0G 3.0M 3.0M S  0.0   0.0   0:01.19 vaultkeeperd
  820 system       20   0 2.0G 2.9M 2.9M S  0.0   0.0   0:02.03 vendor.samsung.hardware.security.proca@2.0-service
  814 root         RT   0    0    0    0 S  0.0   0.0   0:00.01 [irq/29-SX9385]
  813 root         20   0    0    0    0 S  0.0   0.0   0:04.42 [f2fs_gc-254:63]
  809 root         RT   0    0    0    0 S  0.0   0.0   0:07.82 [irq/27-zt_ts_device]
  807 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-esd_tmr_workqueue]
  806 root         20   0    0    0    0 S  0.0   0.0   0:07.25 [f2fs_discard-254:63]
  805 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [f2fs_flush-254:63]
  804 root         20   0    0    0    0 S  0.0   0.0   0:18.99 [f2fs_ckpt-254:63]
  803 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-f2fs_truncate_wq]
  782 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-sec_input_irq_wq]
  779 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-fingerprint_debug_wq]
  778 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/34-goodix_fp_irq]
  775 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-swpm_common_wq]
  774 system       20   0 2.2G 4.0M 4.0M S  0.0   0.1   0:00.07 vendor.samsung.hardware.security.vaultkeeper-service
  773 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-vdec-fmt]
  772 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  769 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  768 system       20   0 2.1G 4.1M 4.1M S  0.0   0.1   0:00.05 vendor.samsung.hardware.security.rtts-service
  767 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-task_exec_wq_9]
  766 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  765 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-task_exec_wq_8]
  762 system       20   0 2.0G 4.2M 4.1M S  0.0   0.1   0:00.04 vendor.samsung.hardware.security.hdcp.wifidisplay-service
  761 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-fm_eint_wq]
  760 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-fm_timer_wq]
  759 system       20   0 2.1G 5.4M 5.3M S  0.0   0.1   0:00.02 vendor.samsung.hardware.security.fkeymaster-service
  757 system       20   0 2.1G 4.1M 3.9M S  0.0   0.1   0:00.22 vendor.samsung.hardware.security.engmode-service
  756 system       20   0 2.1G 4.9M 4.4M S  0.0   0.1   0:06.18 android.hardware.security.keymint-service
  755 keystore     20   0 2.5G 9.1M 7.5M S  0.0   0.2   0:12.01 keystore2 /data/misc/keystore
  753 system       20   0 2.2G 4.8M 3.9M S  0.0   0.1   5:53.50 android.system.suspend-service
  752 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  751 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-RSC-CMDQ-WQ]
  749 system       20   0 2.1G 2.9M 2.9M S  0.0   0.0   0:00.50 wmt_launcher -p /vendor/firmware/ -o 1
  748 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  747 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-task_exec_wq_11]
  746 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  743 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [core_ctl_v5/6]
  741 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [core_ctl_v5/0]
  735 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-lt_wq]
  730 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-shub_debug_wq]
  729 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-shub_dev_wq]
  720 system       20   0 2.2G 2.7M 2.7M S  0.0   0.0   0:03.76 tzts_daemon
  716 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cfg80211]
  714 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  713 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-task_exec_wq_12]
  712 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  711 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  710 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  709 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_mdp_task]
  708 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_resource]
  707 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  706 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  705 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  704 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  703 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  702 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  701 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  700 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  699 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  698 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  697 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  696 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  695 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  694 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  693 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  692 system       20   0 2.0G 3.2M 3.2M S  0.0   0.0   0:02.13 tzdaemon
  691 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  690 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  689 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  688 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  687 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  686 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  685 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  684 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  683 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_auto_release_thread]
  682 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  681 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  680 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  679 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  678 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_flushq]
  677 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-task_exec_wq_10]
  675 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_sec_timeout_wq]
  674 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cmdq_sec_notify_wq]
  672 root          2 -18    0    0    0 S  0.0   0.0   0:00.00 [venc_worker]
  671 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-uclamp_singlethread_wq]
  669 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [pause_drain_rqs]
  668 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-vdec_buf_dump]
  667 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-vdec_check_alive]
  666 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-vdec_set_frame]
  665 root          2 -18    0    0    0 S  0.0   0.0   0:00.00 [vdec_worker]
  659 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [mddp_rx]
  657 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-aw882xx]
  654 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/28-aw882xx]
  652 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-audio_ipi_dump_workqueue]
  650 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-accdet_eint]
  649 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-dismicQueue]
  648 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-accdet]
  647 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-delay_init]
  643 root         RT   0    0    0    0 S  0.0   0.0   0:02.87 [btif_rxd]
  640 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-mcupm_ts_wq]
  637 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [bp_notify_thread]
  635 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [pt_notify_thread]
  634 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-uether_rps]
  633 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-uether_rx1]
  632 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-uether]
  630 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-usb_audio_wq]
  629 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-vcore_wq]
  628 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-dram_vcore_wq]
  627 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cpu_core_wq]
  626 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-cpu_freq_wq]
  625 root         20   0    0    0    0 S  0.0   0.0   0:00.12 [ccci_spd]
  624 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-smem_ul_worker]
  622 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ccci_ctrl]
  621 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ccci_sys]
  620 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ccci_ipc_8]
  619 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ccci_ipc_7]
  618 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ccci_ipc_6]
  617 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ccci_ipc_3]
  616 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ccci_udc]
  615 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ccci_rpc_k]
  614 root         20   0    0    0    0 D  0.0   0.0   0:00.04 [ccci_poll]
  613 root         20   0    0    0    0 S  0.0   0.0   0:00.01 [ccci_fsm]
  612 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-pool_reload_work]
  610 system       20   0 2.1G 2.9M 2.9M S  0.0   0.0   0:00.71 aee_aedv64_v2
  609 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ccmni29_rx_q_worker]
  608 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ccmni28_rx_q_worker]
  607 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ccmni27_rx_q_worker]
  606 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ccmni26_rx_q_worker]
  605 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ccmni25_rx_q_worker]
  603 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ccmni24_rx_q_worker]
  602 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ccmni23_rx_q_worker]
  601 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ccmni22_rx_q_worker]
  600 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-ccmni21_rx_q_worker]
