Tasks: 885 total,   7 running, 878 sleeping,   0 stopped,   0 zombie
  Mem:  3754184K total,  3669424K used,    84760K free,     1752K buffers
 Swap:  8388604K total,  1717148K used,  6671456K free,   657376K cached
800%cpu 181%user   3%nice 200%sys 384%idle   3%iow  25%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
16575 vendor_cmhservice 20 0 9.1G 57M 41M S 0.0   1.5   0:00.64 com.samsung.cmh
16512 u0_a248      20   0 8.1G  54M  40M S  0.0   1.4   0:00.24 com.google.android.webview:webview_service
16062 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
15992 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/6:4H-kverityd]
15918 u0_a66       20   0 8.7G  60M  45M S  0.0   1.6   0:00.74 android.process.media
15916 u0_a270      10 -10 8.5G  63M  46M S  0.0   1.7   0:01.57 com.google.android.adservices.api
15907 root          0 -20    0    0    0 I  0.0   0.0   0:00.04 [kworker/2:4H-kverityd]
15887 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/0:4H-kverityd]
15813 root          0 -20    0    0    0 I  0.0   0.0   0:00.10 [kworker/7:5H-kverityd]
15743 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/R-kbase_event]
15612 u0_a280      20   0 8.1G  51M  38M S  0.0   1.3   0:00.23 com.google.android.rkpdapp
15590 root          0 -20    0    0    0 I  0.0   0.0   0:00.09 [kworker/6:3H-kverityd]
15448 root          0 -20    0    0    0 I  0.0   0.0   0:00.03 [kworker/5:4H-fsverity_read_queue]
15398 u0_a237      20   0 8.7G  78M  60M S  0.0   2.1   0:08.96 com.google.android.gms.unstable
15354 u0_a238      20   0  35G  91M  71M S  0.0   2.4   0:05.18 com.google.android.googlequicksearchbox:googleapp
15347 root          0 -20    0    0    0 I  0.0   0.0   0:00.06 [kworker/3:4H-kverityd]
15344 root          0 -20    0    0    0 I  0.0   0.0   0:00.07 [kworker/0:2H-kverityd]
15276 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:3-pm]
15275 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:2-pm]
15269 root          0 -20    0    0    0 I  0.0   0.0   0:00.04 [kworker/5:3H-kverityd]
15266 root          0 -20    0    0    0 I  0.0   0.0   0:00.06 [kworker/4:3H-fsverity_read_queue]
15256 root          0 -20    0    0    0 I  0.0   0.0   0:00.08 [kworker/2:2H-kverityd]
15254 root          0 -20    0    0    0 I  0.0   0.0   0:00.01 [kworker/3:3H-kverityd]
15252 root          0 -20    0    0    0 I  0.0   0.0   0:00.07 [kworker/6:2H-kverityd]
15250 root          0 -20    0    0    0 I  0.0   0.0   0:00.13 [kworker/1:0H-kverityd]
15249 root          0 -20    0    0    0 I  0.0   0.0   0:00.11 [kworker/4:2H-fsverity_read_queue]
15244 root          0 -20    0    0    0 I  0.0   0.0   0:00.05 [kworker/2:1H-kverityd]
15243 root          0 -20    0    0    0 I  0.0   0.0   0:00.14 [kworker/5:2H-kverityd]
15242 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:2H-kverityd]
15241 root          0 -20    0    0    0 I  0.0   0.0   0:00.01 [kworker/4:1H-fsverity_read_queue]
15240 root          0 -20    0    0    0 I  0.0   0.0   0:00.08 [kworker/0:1H-kblockd]
15239 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:2-pm]
15231 root          0 -20    0    0    0 I  0.0   0.0   0:00.06 [kworker/7:1H-kverityd]
